observation,data_marking,statistical_unit_eng,statistical_unit_cym,measure_type_eng,measure_type_cym,observation_type,empty,obs_type_value,unit_multiplier,unit_of_measure_eng,unit_of_measure_cym,confidentuality,empty1,geographic_area,empty2,empty3,time_dim_item_id,time_dim_item_label_eng,time_dim_item_label_cym,time_type,empty4,statistical_population_id,statistical_population_label_eng,statistical_population_label_cym,cdid,cdiddescrip,empty5,empty6,empty7,empty8,empty9,empty10,empty11,empty12,dim_id_1,dimension_label_eng_1,dimension_label_cym_1,dim_item_id_1,dimension_item_label_eng_1,dimension_item_label_cym_1,is_total_1,is_sub_total_1,dim_id_2,dimension_label_eng_2,dimension_label_cym_2,dim_item_id_2,dimension_item_label_eng_2,dimension_item_label_cym_2,is_total_2,is_sub_total_2
2698.0,,Spending,,Value,,,,,1000000,Spending (Millions),,,,,,,1996.0,1996.0,,Year,,UK Residents,UK Residents,,,,,,,,,,,,Category,Category,,North America,North America,,,,Output,Output,,UK residents’ visits and spending abroad: by region of visit 1980 to 2014,UK residents’ visits and spending abroad: by region of visit 1980 to 2014,,,
10260.0,,Spending,,Value,,,,,1000000,Spending (Millions),,,,,,,1996.0,1996.0,,Year,,UK Residents,UK Residents,,,,,,,,,,,,Category,Category,,Europe,Europe,,,,Output,Output,,UK residents’ visits and spending abroad: by region of visit 1980 to 2014,UK residents’ visits and spending abroad: by region of visit 1980 to 2014,,,
3265.0,,Spending,,Value,,,,,1000000,Spending (Millions),,,,,,,1996.0,1996.0,,Year,,UK Residents,UK Residents,,,,,,,,,,,,Category,Category,,Other Countries,Other Countries,,,,Output,Output,,UK residents’ visits and spending abroad: by region of visit 1980 to 2014,UK residents’ visits and spending abroad: by region of visit 1980 to 2014,,,
16223.0,,Spending,,Value,,,,,1000000,Spending (Millions),,,,,,,1996.0,1996.0,,Year,,UK Residents,UK Residents,,,,,,,,,,,,Category,Category,,Total World,Total World,,,,Output,Output,,UK residents’ visits and spending abroad: by region of visit 1980 to 2014,UK residents’ visits and spending abroad: by region of visit 1980 to 2014,,,
2713.0,,Spending,,Value,,,,,1000000,Spending (Millions),,,,,,,1997.0,1997.0,,Year,,UK Residents,UK Residents,,,,,,,,,,,,Category,Category,,North America,North America,,,,Output,Output,,UK residents’ visits and spending abroad: by region of visit 1980 to 2014,UK residents’ visits and spending abroad: by region of visit 1980 to 2014,,,
10879.0,,Spending,,Value,,,,,1000000,Spending (Millions),,,,,,,1997.0,1997.0,,Year,,UK Residents,UK Residents,,,,,,,,,,,,Category,Category,,Europe,Europe,,,,Output,Output,,UK residents’ visits and spending abroad: by region of visit 1980 to 2014,UK residents’ visits and spending abroad: by region of visit 1980 to 2014,,,
3338.0,,Spending,,Value,,,,,1000000,Spending (Millions),,,,,,,1997.0,1997.0,,Year,,UK Residents,UK Residents,,,,,,,,,,,,Category,Category,,Other Countries,Other Countries,,,,Output,Output,,UK residents’ visits and spending abroad: by region of visit 1980 to 2014,UK residents’ visits and spending abroad: by region of visit 1980 to 2014,,,
16931.0,,Spending,,Value,,,,,1000000,Spending (Millions),,,,,,,1997.0,1997.0,,Year,,UK Residents,UK Residents,,,,,,,,,,,,Category,Category,,Total World,Total World,,,,Output,Output,,UK residents’ visits and spending abroad: by region of visit 1980 to 2014,UK residents’ visits and spending abroad: by region of visit 1980 to 2014,,,
3239.0,,Spending,,Value,,,,,1000000,Spending (Millions),,,,,,,1998.0,1998.0,,Year,,UK Residents,UK Residents,,,,,,,,,,,,Category,Category,,North America,North America,,,,Output,Output,,UK residents’ visits and spending abroad: by region of visit 1980 to 2014,UK residents’ visits and spending abroad: by region of visit 1980 to 2014,,,
12325.0,,Spending,,Value,,,,,1000000,Spending (Millions),,,,,,,1998.0,1998.0,,Year,,UK Residents,UK Residents,,,,,,,,,,,,Category,Category,,Europe,Europe,,,,Output,Output,,UK residents’ visits and spending abroad: by region of visit 1980 to 2014,UK residents’ visits and spending abroad: by region of visit 1980 to 2014,,,
3926.0,,Spending,,Value,,,,,1000000,Spending (Millions),,,,,,,1998.0,1998.0,,Year,,UK Residents,UK Residents,,,,,,,,,,,,Category,Category,,Other Countries,Other Countries,,,,Output,Output,,UK residents’ visits and spending abroad: by region of visit 1980 to 2014,UK residents’ visits and spending abroad: by region of visit 1980 to 2014,,,
19489.0,,Spending,,Value,,,,,1000000,Spending (Millions),,,,,,,1998.0,1998.0,,Year,,UK Residents,UK Residents,,,,,,,,,,,,Category,Category,,Total World,Total World,,,,Output,Output,,UK residents’ visits and spending abroad: by region of visit 1980 to 2014,UK residents’ visits and spending abroad: by region of visit 1980 to 2014,,,
3694.0,,Spending,,Value,,,,,1000000,Spending (Millions),,,,,,,1999.0,1999.0,,Year,,UK Residents,UK Residents,,,,,,,,,,,,Category,Category,,North America,North America,,,,Output,Output,,UK residents’ visits and spending abroad: by region of visit 1980 to 2014,UK residents’ visits and spending abroad: by region of visit 1980 to 2014,,,
13940.0,,Spending,,Value,,,,,1000000,Spending (Millions),,,,,,,1999.0,1999.0,,Year,,UK Residents,UK Residents,,,,,,,,,,,,Category,Category,,Europe,Europe,,,,Output,Output,,UK residents’ visits and spending abroad: by region of visit 1980 to 2014,UK residents’ visits and spending abroad: by region of visit 1980 to 2014,,,
